N1 : 4 
N2 : 4 
LINHAS : 256 
COLUNAS : 8 

MAXIMO_MUTACOES : 3 
NUMERO_MAX_GERACOES : 3000000 
GERACOES_SEM_MUDANCA : 300000 
PERSISTENCIA : 1000 
INDIVIDUOS_POR_GERACAO : 4 
QTD_CH : 2 

NUMERO_PORTAS : 5 
AND : 100 
OR : 200 
NAND : 300 NOR : 400 
XOR : 500 
LINHAS_NOS : 2 
COLUNAS_NOS : 5 
NUMERO_NOS : 18 


Matriz Topologia : 

9 11 13 15 17 
10 12 14 16 18 



A A A A B B B B |C0 C1|S0 |S1 |S2 |S3 |S4 |S5 |S6 |S7 |
1 1 1 0 1 0 1 0 | 0 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
1 1 1 0 1 0 1 1 | 1 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 
1 1 1 0 1 1 0 0 | 0 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 
1 1 1 0 1 1 0 1 | 1 1 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 
1 1 1 0 1 1 1 0 | 0 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 
1 1 1 0 1 1 1 1 | 1 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 
1 1 1 1 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 1 1 1 0 0 0 1 | 1 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 
1 1 1 1 0 0 1 0 | 0 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
1 1 1 1 0 0 1 1 | 1 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 
1 1 1 1 0 1 0 0 | 0 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 
1 1 1 1 0 1 0 1 | 1 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 
1 1 1 1 0 1 1 0 | 0 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 
1 1 1 1 0 1 1 1 | 1 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 
1 1 1 1 1 0 0 0 | 0 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 
1 1 1 1 1 0 0 1 | 1 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 
1 1 1 1 1 0 1 0 | 0 1 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 
1 1 1 1 1 0 1 1 | 1 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 
1 1 1 1 1 1 0 0 | 0 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 
1 1 1 1 1 1 0 1 | 1 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 
1 1 1 1 1 1 1 0 | 0 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 
1 1 1 1 1 1 1 1 | 1 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 




 Evolucao!!!!  Geracao: 1. 	 Melhor rank ate esta geracao: 8 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 5 400 | 3 2 200 | 9 5 500 | 9 1 300 | 7 12 500 | 6 9 200 | 5 7 200 | 9 11 100 | 5 10 100 | 12 3 400 | 8 | 8
1 | 2 8 300 | 5 1 500 | 2 10 400 | 2 9 500 | 3 4 300 | 10 8 500 | 8 3 400 | 7 14 400 | 1 11 100 | 11 16 100 | 3 | -1



 Evolucao!!!!  Geracao: 2. 	 Melhor rank ate esta geracao: 516 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 400 | 3 2 200 | 9 5 500 | 10 1 300 | 7 12 500 | 6 9 200 | 5 7 200 | 9 11 100 | 5 10 100 | 12 3 400 | 16 | 516
1 | 2 8 300 | 5 1 500 | 2 10 400 | 2 9 500 | 3 4 300 | 10 8 500 | 8 3 400 | 7 14 400 | 1 11 100 | 11 16 100 | 3 | -1



 Evolucao!!!!  Geracao: 16. 	 Melhor rank ate esta geracao: 523 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 400 | 3 2 200 | 9 5 500 | 10 5 300 | 7 12 500 | 6 9 200 | 5 7 200 | 9 11 100 | 5 10 100 | 12 3 100 | 16 | 523
1 | 2 8 300 | 5 1 500 | 2 10 400 | 2 9 500 | 3 4 300 | 10 8 500 | 8 3 400 | 7 14 400 | 1 11 100 | 11 16 100 | 6 | -1



 Evolucao!!!!  Geracao: 109. 	 Melhor rank ate esta geracao: 651 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 400 | 3 2 200 | 9 5 500 | 10 5 300 | 7 12 500 | 6 9 200 | 5 7 200 | 9 12 100 | 5 10 100 | 12 3 100 | 16 | 651
1 | 2 8 300 | 5 1 500 | 2 10 400 | 2 9 500 | 3 4 300 | 10 8 500 | 9 3 400 | 7 14 400 | 1 11 100 | 11 16 100 | 6 | -1



 Evolucao!!!!  Geracao: 873. 	 Melhor rank ate esta geracao: 657 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 400 | 3 2 200 | 8 5 500 | 10 5 300 | 7 12 500 | 6 9 200 | 5 7 200 | 9 12 100 | 5 10 100 | 12 3 100 | 16 | 657
1 | 2 8 300 | 5 1 500 | 2 10 400 | 2 9 500 | 3 4 300 | 10 8 500 | 9 3 400 | 7 14 400 | 1 11 100 | 11 10 100 | 18 | -1



 Evolucao!!!!  Geracao: 1063. 	 Melhor rank ate esta geracao: 1025 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 400 | 3 2 200 | 8 5 500 | 10 5 300 | 7 12 500 | 6 9 200 | 5 7 200 | 9 12 100 | 5 10 100 | 12 3 100 | 16 | 1025
1 | 2 8 300 | 5 1 500 | 2 10 200 | 2 9 500 | 3 4 300 | 10 8 500 | 9 3 400 | 7 14 400 | 1 11 100 | 11 5 200 | 18 | -1



 Evolucao!!!!  Geracao: 1130. 	 Melhor rank ate esta geracao: 1033 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 400 | 1 2 200 | 8 5 500 | 10 5 500 | 7 12 500 | 6 9 200 | 5 12 200 | 9 12 100 | 5 10 100 | 12 3 100 | 16 | 1033
1 | 2 8 300 | 5 1 500 | 2 10 200 | 2 9 500 | 3 4 300 | 10 8 500 | 9 3 400 | 7 14 400 | 1 11 100 | 11 5 200 | 18 | -1



 Evolucao!!!!  Geracao: 135305. 	 Melhor rank ate esta geracao: 1035 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 200 | 1 2 200 | 8 5 500 | 10 5 500 | 7 12 500 | 6 9 200 | 5 12 200 | 9 12 100 | 5 10 100 | 12 3 100 | 16 | 1035
1 | 2 8 300 | 5 1 100 | 2 10 200 | 2 9 500 | 3 4 300 | 10 8 500 | 9 3 400 | 7 14 400 | 1 11 100 | 11 5 300 | 18 | -1



 Evolucao!!!!  Geracao: 135848. 	 Melhor rank ate esta geracao: 1094 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 200 | 1 2 200 | 8 5 500 | 10 5 200 | 7 12 500 | 5 9 200 | 5 12 200 | 9 12 100 | 5 10 100 | 12 3 100 | 16 | 1094
1 | 2 8 300 | 3 1 100 | 2 10 200 | 2 9 500 | 3 4 300 | 10 8 500 | 9 3 400 | 7 14 400 | 1 11 100 | 11 5 300 | 18 | -1



 Evolucao!!!!  Geracao: 135860. 	 Melhor rank ate esta geracao: 1095 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 200 | 1 2 200 | 8 5 500 | 10 5 200 | 7 12 200 | 5 9 200 | 5 12 500 | 9 12 100 | 5 10 100 | 12 3 100 | 16 | 1095
1 | 2 8 300 | 8 1 100 | 2 10 200 | 2 9 500 | 3 4 300 | 10 8 500 | 9 3 400 | 7 14 400 | 1 11 100 | 11 5 300 | 18 | -1



 Evolucao!!!!  Geracao: 136377. 	 Melhor rank ate esta geracao: 1219 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 200 | 1 2 200 | 8 5 500 | 10 5 200 | 7 12 200 | 5 9 200 | 5 12 500 | 9 10 100 | 5 10 100 | 12 3 100 | 16 | 1219
1 | 2 8 300 | 8 1 100 | 2 4 200 | 2 9 500 | 3 4 300 | 10 9 500 | 9 3 400 | 7 14 400 | 1 11 100 | 11 5 300 | 18 | -1



 Evolucao!!!!  Geracao: 1501699. 	 Melhor rank ate esta geracao: 1382 	 Valor do Multiplicador de Mutacoes : 1 

1 | 6 7 200 | 1 2 200 | 8 5 500 | 10 5 200 | 7 12 200 | 5 9 200 | 5 12 500 | 9 10 100 | 5 10 100 | 12 3 100 | 16 | 1382
1 | 2 8 300 | 3 4 100 | 2 10 200 | 2 9 500 | 3 4 300 | 10 9 500 | 9 3 400 | 7 14 400 | 1 11 100 | 11 5 300 | 18 | -1



A A A A B B B B |C0 C1|S0 |S1 |S2 |S3 |S4 |S5 |S6 |S7 |
------------------------------------------------------|
0 0 0 0 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 0 1 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 1 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 1 1 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 0 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 0 1 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 1 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 1 1 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 0 1 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 1 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 0 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 
0 0 0 1 0 0 1 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 
0 0 0 1 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 
0 0 0 1 0 1 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 
0 0 0 1 0 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 
0 0 0 1 0 1 1 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 0 0 1 0 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 
0 0 0 1 1 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
0 0 0 1 1 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 
0 0 0 1 1 0 1 0 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
0 0 0 1 1 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 
0 0 0 1 1 1 0 0 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 0 0 1 1 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 
0 0 0 1 1 1 1 0 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 
0 0 0 1 1 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 
0 0 1 0 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 1 0 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 
0 0 1 0 0 0 1 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 
0 0 1 0 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 0 1 0 0 1 0 0 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
0 0 1 0 0 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
0 0 1 0 0 1 1 0 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 0 1 0 0 1 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 
0 0 1 0 1 0 0 0 | 0 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 
0 0 1 0 1 0 0 1 | 0 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
0 0 1 0 1 0 1 0 | 0 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 0 1 0 1 0 1 1 | 0 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 
0 0 1 0 1 1 0 0 | 0 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
0 0 1 0 1 1 0 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 
0 0 1 0 1 1 1 0 | 0 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 
0 0 1 0 1 1 1 1 | 0 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
0 0 1 1 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 0 1 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 
0 0 1 1 0 0 1 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 0 1 1 0 0 1 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 
0 0 1 1 0 1 0 0 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 0 1 1 0 1 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 
0 0 1 1 0 1 1 0 | 0 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
0 0 1 1 0 1 1 1 | 0 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 
0 0 1 1 1 0 0 0 | 0 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
0 0 1 1 1 0 0 1 | 0 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 
0 0 1 1 1 0 1 0 | 0 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
0 0 1 1 1 0 1 1 | 0 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 
0 0 1 1 1 1 0 0 | 0 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 
0 0 1 1 1 1 0 1 | 0 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 
0 0 1 1 1 1 1 0 | 0 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 
0 0 1 1 1 1 1 1 | 0 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 
0 1 0 0 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 1 0 0 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 
0 1 0 0 0 0 1 0 | 1 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
0 1 0 0 0 0 1 1 | 1 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 1 0 0 0 1 0 0 | 1 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 
0 1 0 0 0 1 0 1 | 1 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 1 0 0 0 1 1 0 | 1 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
0 1 0 0 0 1 1 1 | 1 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 
0 1 0 0 1 0 0 0 | 0 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 
0 1 0 0 1 0 0 1 | 0 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 
0 1 0 0 1 0 1 0 | 1 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 
0 1 0 0 1 0 1 1 | 1 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 
0 1 0 0 1 1 0 0 | 1 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 
0 1 0 0 1 1 0 1 | 1 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 
0 1 0 0 1 1 1 0 | 1 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 
0 1 0 0 1 1 1 1 | 1 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 
0 1 0 1 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 1 0 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 
0 1 0 1 0 0 1 0 | 1 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
0 1 0 1 0 0 1 1 | 1 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 
0 1 0 1 0 1 0 0 | 1 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 1 0 1 0 1 0 1 | 1 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 
0 1 0 1 0 1 1 0 | 1 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
0 1 0 1 0 1 1 1 | 1 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 
0 1 0 1 1 0 0 0 | 0 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 
0 1 0 1 1 0 0 1 | 0 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 
0 1 0 1 1 0 1 0 | 1 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 
0 1 0 1 1 0 1 1 | 1 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 
0 1 0 1 1 1 0 0 | 1 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 
0 1 0 1 1 1 0 1 | 1 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 
0 1 0 1 1 1 1 0 | 1 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 1 0 1 1 1 1 1 | 1 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 
0 1 1 0 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 1 1 0 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 1 1 0 0 0 1 0 | 1 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 
0 1 1 0 0 0 1 1 | 1 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
0 1 1 0 0 1 0 0 | 1 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
0 1 1 0 0 1 0 1 | 1 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
0 1 1 0 0 1 1 0 | 1 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 
0 1 1 0 0 1 1 1 | 1 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 
0 1 1 0 1 0 0 0 | 0 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 
0 1 1 0 1 0 0 1 | 0 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 
0 1 1 0 1 0 1 0 | 1 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 
0 1 1 0 1 0 1 1 | 1 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 
0 1 1 0 1 1 0 0 | 1 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 
0 1 1 0 1 1 0 1 | 1 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 
0 1 1 0 1 1 1 0 | 1 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 1 1 0 1 1 1 1 | 1 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 
0 1 1 1 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
0 1 1 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 
0 1 1 1 0 0 1 0 | 1 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 
0 1 1 1 0 0 1 1 | 1 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 
0 1 1 1 0 1 0 0 | 1 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 
0 1 1 1 0 1 0 1 | 1 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 
0 1 1 1 0 1 1 0 | 1 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 
0 1 1 1 0 1 1 1 | 1 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 
0 1 1 1 1 0 0 0 | 0 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 
0 1 1 1 1 0 0 1 | 0 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 
0 1 1 1 1 0 1 0 | 1 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 
0 1 1 1 1 0 1 1 | 1 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 
0 1 1 1 1 1 0 0 | 1 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 
0 1 1 1 1 1 0 1 | 1 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 
0 1 1 1 1 1 1 0 | 1 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 
0 1 1 1 1 1 1 1 | 1 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 
1 0 0 0 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 0 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 0 0 0 1 0 | 1 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 
1 0 0 0 0 0 1 1 | 1 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 
1 0 0 0 0 1 0 0 | 1 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 0 0 1 0 1 | 1 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 0 0 1 1 0 | 1 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 
1 0 0 0 0 1 1 1 | 1 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 
1 0 0 0 1 0 0 0 | 0 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 0 1 0 0 1 | 0 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 0 1 0 1 0 | 1 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 
1 0 0 0 1 0 1 1 | 1 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 
1 0 0 0 1 1 0 0 | 1 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 0 1 1 0 1 | 1 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 0 1 1 1 0 | 1 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 
1 0 0 0 1 1 1 1 | 1 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 
1 0 0 1 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 0 0 1 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 
1 0 0 1 0 0 1 0 | 1 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 
1 0 0 1 0 0 1 1 | 1 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 
1 0 0 1 0 1 0 0 | 1 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 
1 0 0 1 0 1 0 1 | 1 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 
1 0 0 1 0 1 1 0 | 1 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 
1 0 0 1 0 1 1 1 | 1 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 
1 0 0 1 1 0 0 0 | 0 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 
1 0 0 1 1 0 0 1 | 0 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 
1 0 0 1 1 0 1 0 | 1 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 
1 0 0 1 1 0 1 1 | 1 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 
1 0 0 1 1 1 0 0 | 1 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 
1 0 0 1 1 1 0 1 | 1 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 
1 0 0 1 1 1 1 0 | 1 1 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 
1 0 0 1 1 1 1 1 | 1 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 
1 0 1 0 0 0 0 0 | 0 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
1 0 1 0 0 0 0 1 | 0 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 
1 0 1 0 0 0 1 0 | 1 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 
1 0 1 0 0 0 1 1 | 1 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 
